# SCF level flow: eigenvalue spectrum vs self-consistency iteration
# U_eV=11.2 hartree=1 hartree_onsite=0 homo_index=46 n_states=92 n_samples=1087 stride=2 iters=2171
# iter  state_index  energy_eV  occupation  spin(+1=up,-1=dn)
14 49 3.68478 0 -1
14 50 4.32649 0 -1
14 51 4.32649 0 -1
14 52 4.34427 0 1
14 53 4.34427 0 1
14 54 4.5465 0 1
14 55 4.54832 0 -1
14 56 4.72133 0 -1
14 57 4.73736 0 -1
14 58 4.73736 0 -1
14 59 4.74068 0 1
14 60 4.74068 0 1
14 61 4.74786 0 1
14 62 5.21181 0 1
14 63 5.21181 0 1
14 64 5.23471 0 -1
14 65 5.23471 0 -1
14 66 5.44169 0 -1
14 67 5.44513 0 -1
14 68 5.44513 0 -1
14 69 5.45647 0 1
14 70 5.46316 0 1
14 71 5.46316 0 1
14 72 6.25128 0 1
14 73 6.32398 0 -1
14 74 6.3473 0 1
14 75 6.38241 0 -1
14 76 6.4363 0 -1
14 77 6.4363 0 -1
14 78 6.4591 0 1
14 79 6.4591 0 1
14 80 7.40988 0 1
14 81 7.40988 0 1
14 82 7.44292 0 -1
14 83 7.44292 0 -1
14 84 7.51227 0 1
14 85 7.52369 0 -1
14 86 8.39065 0 1
14 87 8.39065 0 1
14 88 8.39854 0 -1
14 89 8.39854 0 -1
14 90 9.11001 0 -1
14 91 9.12969 0 1
16 0 -7.50029 1 1
16 1 -7.4827 1 -1
16 2 -6.86608 1 1
16 3 -6.86608 1 1
16 4 -6.81224 1 -1
16 5 -6.81224 1 -1
16 6 -6.02273 1 1
16 7 -5.97307 1 -1
16 8 -5.94719 1 1
16 9 -5.94719 1 1
16 10 -5.85356 1 -1
16 11 -5.85356 1 -1
16 12 -4.97134 1 1
16 13 -4.97134 1 1
16 14 -4.9439 1 1
16 15 -4.93635 1 -1
16 16 -4.93635 1 -1
16 17 -4.82525 1 1
16 18 -4.81143 1 -1
16 19 -4.6774 1 -1
16 20 -4.02086 1 1
16 21 -4.02086 1 1
16 22 -3.96124 1 1
16 23 -3.93268 1 -1
16 24 -3.93268 1 -1
16 25 -3.93227 1 -1
16 26 -3.75895 1 1
16 27 -3.75895 1 1
16 28 -3.61814 1 -1
16 29 -3.61814 1 -1
16 30 -3.27506 1 1
16 31 -3.2717 1 -1
16 32 -3.2717 1 -1
16 33 -3.25021 1 1
16 34 -3.25021 1 1
16 35 -3.19565 1 -1
16 36 -3.02992 1 1
16 37 -3.01834 1 -1
16 38 -2.86977 1 1
16 39 -2.86977 1 1
16 40 -2.71165 1 -1
16 41 -2.71165 1 -1
16 42 -2.2754 1 1
16 43 -2.2754 1 1
16 44 -2.21258 1 1
16 45 -2.17282 1 1
16 46 3.69479 1 -1
16 47 3.72399 0 -1
16 48 3.72399 0 -1
16 49 3.79299 0 -1
16 50 4.42771 0 -1
16 51 4.42771 0 -1
16 52 4.44741 0 1
16 53 4.44741 0 1
16 54 4.64609 0 1
16 55 4.6468 0 -1
16 56 4.81346 0 -1
16 57 4.83178 0 -1
