# mu freq sigma_base sigma_full diff
2.30 0.0966507 0.00916054 0.0361828 -0.0270223
2.30 0.0970182 0.00769255 0.044255 -0.0365625
2.30 0.0973857 -0.00125086 0.0326587 -0.0339096
2.30 0.0977532 -0.00165965 0.0460952 -0.0477549
2.30 0.0981207 0.00408763 0.071186 -0.0670984
2.30 0.0984882 0.000717647 0.0596205 -0.0589029
2.30 0.0988557 0.00341358 0.0532877 -0.0498741
2.30 0.0992232 -0.00238749 0.052016 -0.0544035
2.30 0.0995907 -0.0166593 0.0437875 -0.0604468
2.30 0.0999582 -0.0103437 0.0507147 -0.0610584
2.30 0.100326 -0.000236813 0.0491208 -0.0493576
2.30 0.100693 0.00850338 0.0457415 -0.0372381
2.30 0.101061 0.0205358 0.0465456 -0.0260098
2.30 0.101428 0.018841 0.0333959 -0.0145549
2.30 0.101796 0.0235518 0.0430504 -0.0194986
2.30 0.102163 0.0348999 0.0564459 -0.021546
2.30 0.102531 0.0310701 0.0383407 -0.0072706
2.30 0.102898 0.0323931 0.0303004 0.0020927
2.30 0.103266 0.0285806 0.0323654 -0.0037848
2.30 0.103633 0.00917616 0.0441727 -0.0349965
2.30 0.104001 0.00629018 0.0639665 -0.0576763
2.30 0.104368 0.00931028 0.048362 -0.0390517
2.30 0.104736 0.00705264 0.0459384 -0.0388858
2.30 0.105103 0.0120562 0.0701077 -0.0580515
2.30 0.105471 0.0120319 0.0517084 -0.0396765
2.30 0.105838 0.0129542 0.0336553 -0.0207011
2.30 0.106206 0.018563 0.037214 -0.018651
2.30 0.106573 0.0174689 0.0286463 -0.0111774
2.30 0.106941 0.0198935 0.0354345 -0.015541
2.30 0.107308 0.0155789 0.0297787 -0.0141998
2.30 0.107676 0.00614467 0.00613172 1.295e-05
2.30 0.108043 0.0140949 0.00709723 0.00699767
2.30 0.108411 0.0186374 -0.00834841 0.0269858
2.30 0.108778 0.0212891 -0.018412 0.0397011
2.30 0.109145 0.0386589 0.00856594 0.030093
2.30 0.109513 0.0489623 0.00269555 0.0462668
2.30 0.10988 0.0597282 -0.0124163 0.0721445
2.30 0.110248 0.0719001 0.000106702 0.0717934
2.30 0.110615 0.0661238 0.00303092 0.0630929
2.30 0.110983 0.0645378 0.0113734 0.0531644
2.30 0.11135 0.0654482 0.0125863 0.0528619
2.30 0.111718 0.0620771 -0.00384362 0.0659207
2.30 0.112085 0.0764103 0.00411612 0.0722942
2.30 0.112453 0.0854021 0.0131511 0.072251
2.30 0.11282 0.0812713 0.0143176 0.0669537
2.30 0.113188 0.0845351 0.0167694 0.0677657
2.30 0.113555 0.0814226 0.000566022 0.0808566
2.30 0.113923 0.0778328 0.0126087 0.0652241
2.30 0.11429 0.0654328 0.0452204 0.0202124
2.30 0.114658 0.0246909 0.0366864 -0.0119955
2.30 0.115025 0.00177745 0.0218768 -0.0200993
2.30 0.115393 0.00339368 0.00856673 -0.00517305
2.30 0.11576 -0.00373405 -0.00956563 0.00583158
2.30 0.116128 -0.00773447 -0.00344349 -0.00429098
2.30 0.116495 -0.0179071 -0.00664654 -0.0112606
2.30 0.116863 -0.0294313 -0.00882225 -0.0206091
2.30 0.11723 -0.0151131 0.00273374 -0.0178468
2.30 0.117598 -0.0026623 -0.0293046 0.0266423
2.30 0.117965 0.00585173 -0.0488248 0.0546765
2.30 0.118333 0.0221208 -0.0102362 0.032357
2.30 0.1187 0.021539 0.0105235 0.0110155
2.30 0.119068 0.0222818 0.00507555 0.0172062
2.30 0.119435 0.0317047 -0.00428491 0.0359896
2.30 0.119803 0.033271 -0.00721413 0.0404851
2.30 0.12017 0.0498781 0.0158437 0.0340344
2.30 0.120538 0.06566 0.0286394 0.0370206
2.30 0.120905 0.0590602 0.0259161 0.0331441
2.30 0.121273 0.051178 0.0193318 0.0318462
2.30 0.12164 0.0324236 -0.00624063 0.0386642
2.30 0.122008 0.0118842 -0.00324119 0.0151254
2.30 0.122375 0.0114795 0.0223872 -0.0109077
2.30 0.122743 0.0147559 0.0241713 -0.0094154
2.30 0.12311 0.0302233 0.0300412 0.0001821
2.30 0.123478 0.0465546 0.0174406 0.029114
2.30 0.123845 0.0407873 -0.00260861 0.0433959
2.30 0.124213 0.049051 0.0294149 0.0196361
2.30 0.12458 0.0648983 0.0475561 0.0173422
2.30 0.124948 0.0667553 0.0466408 0.0201145
2.30 0.125315 0.0793541 0.0761539 0.0032002
2.30 0.125683 0.0804839 0.0791655 0.0013184
2.30 0.12605 0.0665111 0.0798868 -0.0133757
2.30 0.126418 0.0710922 0.104195 -0.0331028
2.30 0.126785 0.0747275 0.0889523 -0.0142248
2.30 0.127153 0.0827179 0.0729645 0.0097534
2.30 0.12752 0.102104 0.0736421 0.0284619
2.30 0.127888 0.0989386 0.0582686 0.04067
2.30 0.128255 0.097423 0.0631825 0.0342405
2.30 0.128623 0.109713 0.0665948 0.0431182
2.30 0.12899 0.107126 0.0631653 0.0439607
2.30 0.129358 0.107216 0.0918786 0.0153374
2.30 0.129725 0.111867 0.103164 0.008703
2.30 0.130093 0.116453 0.106274 0.010179
2.30 0.13046 0.133761 0.137732 -0.003971
2.30 0.130828 0.138019 0.152514 -0.014495
2.30 0.131195 0.136083 0.160305 -0.024222
2.30 0.131563 0.144822 0.16402 -0.019198
2.30 0.13193 0.140724 0.154258 -0.013534
2.30 0.132298 0.150235 0.174551 -0.024316
2.30 0.132665 0.178035 0.188426 -0.010391
2.30 0.133033 0.186897 0.183954 0.002943
2.30 0.1334 0.200479 0.203593 -0.003114
2.30 0.133768 0.212194 0.194565 0.017629
2.30 0.134135 0.20599 0.173004 0.032986
2.30 0.134503 0.221539 0.192228 0.029311
2.30 0.13487 0.238129 0.208081 0.030048
2.30 0.135238 0.244233 0.238047 0.006186
