# mu freq sigma_base sigma_full diff
2.33 0.128255 68.2701 67.8778 0.3923
2.30 0 0 0 0
2.30 0.000367493 7.37469e-06 7.41648e-06 -4.179e-08
2.30 0.000734987 1.83357e-05 1.8358e-05 -2.23e-08
2.30 0.00110248 6.407e-05 6.42855e-05 -2.155e-07
2.30 0.00146997 8.03481e-05 8.03061e-05 4.2e-08
2.30 0.00183747 0.000167084 0.000167266 -1.82e-07
2.30 0.00220496 0.000200821 0.000200486 3.35e-07
2.30 0.00257245 0.000305574 0.000305131 4.43e-07
2.30 0.00293995 0.000389403 0.000388565 8.38e-07
2.30 0.00330744 0.00048018 0.000478724 1.456e-06
2.30 0.00367493 0.000641402 0.000639922 1.48e-06
2.30 0.00404243 0.000707814 0.000705105 2.709e-06
2.30 0.00440992 0.000940406 0.000938101 2.305e-06
2.30 0.00477741 0.0010128 0.0010093 3.5e-06
2.30 0.00514491 0.00127218 0.0012689 3.28e-06
2.30 0.0055124 0.00141225 0.00140804 4.21e-06
2.30 0.00587989 0.00164124 0.00163632 4.92e-06
2.30 0.00624739 0.00190387 0.00189888 4.99e-06
2.30 0.00661488 0.00207571 0.00206891 6.8e-06
2.30 0.00698237 0.00246856 0.00246194 6.62e-06
2.30 0.00734987 0.00261825 0.00260897 9.28e-06
2.30 0.00771736 0.00308804 0.00307884 9.2e-06
2.30 0.00808485 0.00330557 0.00329434 1.123e-05
2.30 0.00845234 0.00376804 0.00375596 1.208e-05
2.30 0.00881984 0.0041539 0.00414101 1.289e-05
2.30 0.00918733 0.00455356 0.00453864 1.492e-05
2.30 0.00955482 0.00516229 0.00514804 1.425e-05
2.30 0.00992232 0.00552882 0.00551155 1.727e-05
2.30 0.0102898 0.006344 0.00632733 1.667e-05
2.30 0.0106573 0.00681521 0.00679548 1.973e-05
2.30 0.0110248 0.00779262 0.00777222 2.04e-05
2.30 0.0113923 0.00860022 0.00857737 2.285e-05
2.30 0.0117598 0.00970684 0.00968023 2.661e-05
2.30 0.0121273 0.0108191 0.0107912 2.79e-05
2.30 0.0124948 0.0115851 0.0115525 3.26e-05
2.30 0.0128623 0.0127679 0.0127349 3.3e-05
2.30 0.0132298 0.0136485 0.013609 3.95e-05
2.30 0.0135973 0.0153657 0.0153234 4.23e-05
2.30 0.0139647 0.0168239 0.0167757 4.82e-05
2.30 0.0143322 0.0190775 0.0190233 5.42e-05
2.30 0.0146997 0.0214816 0.0214219 5.97e-05
2.30 0.0150672 0.0244781 0.0244076 7.05e-05
2.30 0.0154347 0.0284026 0.0283254 7.72e-05
2.30 0.0158022 0.0328553 0.0327629 9.24e-05
2.30 0.0161697 0.0393363 0.0392313 0.000105
2.30 0.0165372 0.046987 0.0468602 0.0001268
2.30 0.0169047 0.058423 0.0582691 0.0001539
2.30 0.0172722 0.0735475 0.0733559 0.0001916
2.30 0.0176397 0.0965952 0.0963433 0.0002519
2.30 0.0180072 0.131134 0.130798 0.000336
2.30 0.0183747 0.186275 0.185795 0.00048
2.30 0.0187422 0.274656 0.27396 0.000696
2.30 0.0191096 0.404323 0.403301 0.001022
2.30 0.0194771 0.533034 0.531701 0.001333
2.30 0.0198446 0.54119 0.539845 0.001345
2.30 0.0202121 0.42506 0.424008 0.001052
2.30 0.0205796 0.30055 0.299809 0.000741
2.30 0.0209471 0.213857 0.213322 0.000535
2.30 0.0213146 0.159102 0.158702 0.0004
2.30 0.0216821 0.124715 0.124391 0.000324
2.30 0.0220496 0.102394 0.102126 0.000268
2.30 0.0224171 0.0878461 0.0876095 0.0002366
2.30 0.0227846 0.0778983 0.077686 0.0002123
2.30 0.0231521 0.0715292 0.0713333 0.0001959
2.30 0.0235196 0.0671231 0.0669334 0.0001897
2.30 0.0238871 0.0648166 0.0646369 0.0001797
2.30 0.0242546 0.063472 0.0632895 0.0001825
2.30 0.024622 0.0636377 0.0634603 0.0001774
2.30 0.0249895 0.0644749 0.0642903 0.0001846
2.30 0.025357 0.066562 0.0663736 0.0001884
2.30 0.0257245 0.0694487 0.0692519 0.0001968
2.30 0.026092 0.0735541 0.0733437 0.0002104
2.30 0.0264595 0.0789521 0.0787324 0.0002197
2.30 0.026827 0.0859417 0.0856973 0.0002444
2.30 0.0271945 0.0953222 0.0950594 0.0002628
2.30 0.027562 0.107425 0.107125 0.0003
2.30 0.0279295 0.12315 0.122815 0.000335
2.30 0.028297 0.139414 0.139037 0.000377
2.30 0.0286645 0.154695 0.154278 0.000417
2.30 0.029032 0.171239 0.170783 0.000456
2.30 0.0293995 0.196034 0.195511 0.000523
2.30 0.029767 0.23042 0.22982 0.0006
2.30 0.0301344 0.280491 0.279759 0.000732
2.30 0.0305019 0.350887 0.349988 0.000899
2.30 0.0308694 0.454952 0.453791 0.001161
2.30 0.0312369 0.612555 0.611004 0.001551
2.30 0.0316044 0.859275 0.857113 0.002162
2.30 0.0319719 1.25778 1.25462 0.00316
2.30 0.0323394 1.86597 1.86133 0.00464
2.30 0.0327069 2.59866 2.59223 0.00643
2.30 0.0330744 2.89954 2.89241 0.00713
2.30 0.0334419 2.4352 2.42922 0.00598
2.30 0.0338094 1.73325 1.72898 0.00427
2.30 0.0341769 1.21223 1.20921 0.00302
2.30 0.0345444 0.86509 0.862913 0.002177
2.30 0.0349119 0.640873 0.63924 0.001633
2.30 0.0352794 0.48493 0.483673 0.001257
2.30 0.0356468 0.384048 0.383058 0.00099
2.30 0.0360143 0.310832 0.310023 0.000809
2.30 0.0363818 0.260213 0.259539 0.000674
2.30 0.0367493 0.222925 0.222342 0.000583
2.30 0.0371168 0.193341 0.19283 0.000511
2.30 0.0374843 0.173398 0.172941 0.000457
2.30 0.0378518 0.154107 0.15369 0.000417
2.30 0.0382193 0.142871 0.14249 0.000381
2.30 0.0385868 0.13 0.129642 0.000358
2.30 0.0389543 0.122698 0.122366 0.000332
2.30 0.0393218 0.114806 0.114488 0.000318
2.30 0.0396893 0.108845 0.108545 0.0003
2.30 0.0400568 0.104944 0.104654 0.00029
2.30 0.0404243 0.099415 0.0991319 0.0002831
2.30 0.0407918 0.0981877 0.0979114 0.0002763
2.30 0.0411592 0.0934149 0.0931355 0.0002794
2.30 0.0415267 0.0932208 0.0929478 0.000273
2.30 0.0418942 0.0900701 0.089793 0.0002771
