# mu freq sigma_base sigma_full diff
2.33 0.0510816 0.212947 0.212074 0.000873
2.33 0.0514491 0.210093 0.20923 0.000863
2.33 0.0518165 0.216194 0.215289 0.000905
2.33 0.052184 0.216119 0.215235 0.000884
2.33 0.0525515 0.219119 0.218198 0.000921
2.33 0.052919 0.226098 0.22518 0.000918
2.33 0.0532865 0.225449 0.224511 0.000938
2.33 0.053654 0.237271 0.236304 0.000967
2.33 0.0540215 0.235488 0.234525 0.000963
2.33 0.054389 0.247922 0.246905 0.001017
2.33 0.0547565 0.24958 0.248574 0.001006
2.33 0.055124 0.25868 0.257614 0.001066
2.33 0.0554915 0.267657 0.266587 0.00107
2.33 0.055859 0.272861 0.271747 0.001114
2.33 0.0562265 0.290785 0.289628 0.001157
2.33 0.056594 0.296104 0.294918 0.001186
2.33 0.0569615 0.316811 0.315552 0.001259
2.33 0.0573289 0.315274 0.314031 0.001243
2.33 0.0576964 0.3211 0.319811 0.001289
2.33 0.0580639 0.321524 0.320257 0.001267
2.33 0.0584314 0.323707 0.322398 0.001309
2.33 0.0587989 0.335502 0.334176 0.001326
2.33 0.0591664 0.334775 0.33343 0.001345
2.33 0.0595339 0.3531 0.351698 0.001402
2.33 0.0599014 0.353058 0.351656 0.001402
2.33 0.0602689 0.371458 0.369971 0.001487
2.33 0.0606364 0.378226 0.376738 0.001488
2.33 0.0610039 0.39194 0.390372 0.001568
2.33 0.0613714 0.409918 0.408316 0.001602
2.33 0.0617389 0.418528 0.416866 0.001662
2.33 0.0621064 0.445818 0.444077 0.001741
2.33 0.0624739 0.453255 0.451483 0.001772
2.33 0.0628413 0.486839 0.484943 0.001896
2.33 0.0632088 0.504821 0.502887 0.001934
2.33 0.0635763 0.541707 0.539624 0.002083
2.33 0.0639438 0.585768 0.583578 0.00219
2.33 0.0643113 0.645823 0.643415 0.002408
2.33 0.0646788 0.751894 0.749182 0.002712
2.33 0.0650463 0.866886 0.863819 0.003067
2.33 0.0654138 0.975645 0.972255 0.00339
2.33 0.0657813 0.939071 0.935812 0.003259
2.33 0.0661488 0.850514 0.847481 0.003033
2.33 0.0665163 0.767028 0.764264 0.002764
2.33 0.0668838 0.718638 0.715967 0.002671
2.33 0.0672513 0.705571 0.702954 0.002617
2.33 0.0676188 0.687176 0.684581 0.002595
2.33 0.0679863 0.706729 0.704068 0.002661
2.33 0.0683537 0.701492 0.698843 0.002649
2.33 0.0687212 0.730404 0.727632 0.002772
2.33 0.0690887 0.740614 0.737828 0.002786
2.33 0.0694562 0.76571 0.762794 0.002916
2.33 0.0698237 0.795984 0.792994 0.00299
2.33 0.0701912 0.814082 0.810991 0.003091
2.33 0.0705587 0.863893 0.860648 0.003245
2.33 0.0709262 0.883616 0.880291 0.003325
2.33 0.0712937 0.948514 0.944963 0.003551
2.33 0.0716612 0.989323 0.985659 0.003664
2.33 0.0720287 1.06439 1.06045 0.00394
2.33 0.0723962 1.13164 1.12751 0.00413
2.33 0.0727637 1.19299 1.18862 0.00437
