# mu freq sigma_L0 sigma_L1 sigma_L2 diff_L1 diff_L2
2.3 0.053654 0.00668718 0.00676176 0.00676137 -7.458e-05 -7.419e-05
2.3 0.0540215 0.0063889 0.00672692 0.00672637 -0.00033802 -0.00033747
2.3 0.054389 0.00665922 0.00688931 0.00689111 -0.00023009 -0.00023189
2.3 0.0547565 0.00659262 0.00671886 0.00672149 -0.00012624 -0.00012887
2.3 0.055124 0.00700124 0.00712413 0.0071218 -0.00012289 -0.00012056
2.3 0.0554915 0.00731876 0.0072627 0.007266 5.606e-05 5.276e-05
2.3 0.055859 0.00743457 0.00727056 0.00727025 0.00016401 0.00016432
2.3 0.0562265 0.0076675 0.00765659 0.00765245 1.091e-05 1.505e-05
2.3 0.056594 0.00747876 0.00770981 0.00771512 -0.00023105 -0.00023636
2.3 0.0569615 0.00782026 0.00808654 0.00808 -0.00026628 -0.00025974
2.3 0.0573289 0.00771835 0.00782581 0.00782688 -0.00010746 -0.00010853
2.3 0.0576964 0.00792238 0.00791214 0.00791428 1.024e-05 8.1e-06
2.3 0.0580639 0.00806342 0.00810438 0.00809876 -4.096e-05 -3.534e-05
2.3 0.0584314 0.00829324 0.0084502 0.00845502 -0.00015696 -0.00016178
2.3 0.0587989 0.00842803 0.00865271 0.00865243 -0.00022468 -0.0002244
2.3 0.0591664 0.00855497 0.00880866 0.00880801 -0.00025369 -0.00025304
2.3 0.0595339 0.00895029 0.00904321 0.00904666 -9.292e-05 -9.637e-05
2.3 0.0599014 0.00864202 0.00854398 0.00854521 9.804e-05 9.681e-05
2.3 0.0602689 0.00894028 0.00905421 0.00905154 -0.00011393 -0.00011126
2.3 0.0606364 0.00897169 0.00917869 0.00918288 -0.000207 -0.00021119
2.3 0.0610039 0.00956604 0.00945853 0.00945616 0.00010751 0.00010988
2.3 0.0613714 0.0100715 0.00991793 0.00991333 0.00015357 0.00015817
2.3 0.0617389 0.0103673 0.0103414 0.0103472 2.59e-05 2.01e-05
2.3 0.0621064 0.0105365 0.0104846 0.0104751 5.19e-05 6.14e-05
2.3 0.0624739 0.00975724 0.00979026 0.00979326 -3.302e-05 -3.602e-05
2.3 0.0628413 0.00995515 0.0101781 0.0101814 -0.00022295 -0.00022625
2.3 0.0632088 0.00988346 0.0100217 0.0100157 -0.00013824 -0.00013224
2.3 0.0635763 0.010051 0.0101031 0.0101116 -5.21e-05 -6.06e-05
2.3 0.0639438 0.0100113 0.0101501 0.010149 -0.0001388 -0.0001377
2.3 0.0643113 0.0102504 0.0102966 0.0102956 -4.62e-05 -4.52e-05
2.3 0.0646788 0.0106439 0.010473 0.010477 0.0001709 0.0001669
2.3 0.0650463 0.0107537 0.0101968 0.0101942 0.0005569 0.0005595
2.3 0.0654138 0.0112827 0.0105001 0.0104962 0.0007826 0.0007865
2.3 0.0657813 0.0106387 0.0100833 0.0100874 0.0005554 0.0005513
2.3 0.0661488 0.010799 0.010749 0.0107441 5e-05 5.49e-05
2.3 0.0665163 0.0108555 0.011165 0.0111611 -0.0003095 -0.0003056
2.3 0.0668838 0.0113248 0.0115684 0.011576 -0.0002436 -0.0002512
2.3 0.0672513 0.0116275 0.0117802 0.0117706 -0.0001527 -0.0001431
2.3 0.0676188 0.0115164 0.0114274 0.0114338 8.9e-05 8.26e-05
2.3 0.0679863 0.0121997 0.0118044 0.0118083 0.0003953 0.0003914
2.3 0.0683537 0.0120676 0.0113993 0.0113927 0.0006683 0.0006749
2.3 0.0687212 0.0127665 0.011914 0.0119247 0.0008525 0.0008418
2.3 0.0690887 0.0127328 0.0119953 0.0119915 0.0007375 0.0007413
2.3 0.0694562 0.0127024 0.012142 0.0121402 0.0005604 0.0005622
2.3 0.0698237 0.0125083 0.0122782 0.0122822 0.0002301 0.0002261
2.3 0.0701912 0.0123364 0.0121663 0.0121612 0.0001701 0.0001752
2.3 0.0705587 0.0127235 0.0124518 0.0124487 0.0002717 0.0002748
2.3 0.0709262 0.0123995 0.0122632 0.0122671 0.0001363 0.0001324
2.3 0.0712937 0.0126493 0.0127095 0.0127041 -6.02e-05 -5.48e-05
2.3 0.0716612 0.0120974 0.0123465 0.0123456 -0.0002491 -0.0002482
2.3 0.0720287 0.0123929 0.0126486 0.0126573 -0.0002557 -0.0002644
2.3 0.0723962 0.0125693 0.012765 0.0127559 -0.0001957 -0.0001866
2.3 0.0727637 0.0132389 0.0132118 0.013221 2.71e-05 1.79e-05
2.3 0.0731312 0.0141782 0.0140258 0.0140285 0.0001524 0.0001497
2.3 0.0734987 0.0142847 0.0140838 0.0140766 0.0002009 0.0002081
2.3 0.0738661 0.0148298 0.0145729 0.0145839 0.0002569 0.0002459
2.3 0.0742336 0.0142392 0.013883 0.0138757 0.0003562 0.0003635
2.3 0.0746011 0.0147772 0.0139491 0.0139476 0.0008281 0.0008296
2.3 0.0749686 0.0146382 0.0138204 0.0138239 0.0008178 0.0008143
2.3 0.0753361 0.0145714 0.0139343 0.0139266 0.0006371 0.0006448
2.3 0.0757036 0.0146106 0.0136029 0.0136024 0.0010077 0.0010082
2.3 0.0760711 0.014764 0.0133513 0.0133552 0.0014127 0.0014088
2.3 0.0764386 0.0157137 0.0143315 0.0143263 0.0013822 0.0013874
2.3 0.0768061 0.0153144 0.0144221 0.0144253 0.0008923 0.0008891
2.3 0.0771736 0.0160408 0.0155358 0.0155441 0.000505 0.0004967
2.3 0.0775411 0.0158701 0.015498 0.0154898 0.0003721 0.0003803
2.3 0.0779086 0.0163886 0.0159001 0.0159107 0.0004885 0.0004779
2.3 0.0782761 0.0169583 0.0162644 0.0162637 0.0006939 0.0006946
2.3 0.0786436 0.0173146 0.0164121 0.0164037 0.0009025 0.0009109
2.3 0.0790111 0.0178227 0.0169755 0.0169852 0.0008472 0.0008375
2.3 0.0793785 0.0174072 0.0173161 0.0173045 9.11e-05 0.0001027
2.3 0.079746 0.0184083 0.0190178 0.0190169 -0.0006095 -0.0006086
2.3 0.0801135 0.0178033 0.018327 0.0183309 -0.0005237 -0.0005276
2.3 0.080481 0.0179635 0.0179872 0.0179789 -2.37e-05 -1.54e-05
2.3 0.0808485 0.01768 0.0176583 0.0176624 2.17e-05 1.76e-05
2.3 0.081216 0.0173278 0.0176066 0.0176106 -0.0002788 -0.0002828
2.3 0.0815835 0.0176366 0.0178769 0.0178727 -0.0002403 -0.0002361
2.3 0.081951 0.0174176 0.0173305 0.0173366 8.71e-05 8.1e-05
2.3 0.0823185 0.0185619 0.018179 0.0181844 0.0003829 0.0003775
2.3 0.082686 0.0185283 0.0180313 0.0180234 0.000497 0.0005049
2.3 0.0830535 0.0193437 0.0189236 0.0189328 0.0004201 0.0004109
2.3 0.083421 0.0193238 0.0191387 0.0191342 0.0001851 0.0001896
2.3 0.0837885 0.019824 0.0198078 0.0198002 1.62e-05 2.38e-05
2.3 0.084156 0.0200616 0.0200477 0.0200561 1.39e-05 5.5e-06
2.3 0.0845234 0.0198054 0.0196094 0.0195969 0.000196 0.0002085
2.3 0.0848909 0.0208764 0.0205425 0.0205451 0.0003339 0.0003313
2.3 0.0852584 0.0204686 0.0202567 0.0202607 0.0002119 0.0002079
2.3 0.0856259 0.0213043 0.0210983 0.0210909 0.000206 0.0002134
2.3 0.0859934 0.0208463 0.0203672 0.020376 0.0004791 0.0004703
2.3 0.0863609 0.0210886 0.0206698 0.0206716 0.0004188 0.000417
2.3 0.0867284 0.0212833 0.0213522 0.0213489 -6.89e-05 -6.56e-05
2.3 0.0870959 0.021238 0.0213232 0.0213298 -8.52e-05 -9.18e-05
2.3 0.0874634 0.0219653 0.0218284 0.0218275 0.0001369 0.0001378
2.3 0.0878309 0.0216894 0.0215492 0.0215426 0.0001402 0.0001468
2.3 0.0881984 0.0230571 0.0230433 0.0230495 1.38e-05 7.6e-06
2.3 0.0885659 0.0227728 0.0230357 0.0230275 -0.0002629 -0.0002547
2.3 0.0889334 0.0233869 0.0237828 0.0237788 -0.0003959 -0.0003919
2.3 0.0893009 0.0233977 0.0236306 0.0236378 -0.0002329 -0.0002401
2.3 0.0896684 0.0233731 0.0233272 0.0233155 4.59e-05 5.76e-05
2.3 0.0900358 0.0239489 0.0241422 0.0241499 -0.0001933 -0.000201
2.3 0.0904033 0.0237685 0.0241844 0.0241883 -0.0004159 -0.0004198
2.3 0.0907708 0.0248893 0.0250371 0.0250315 -0.0001478 -0.0001422
